nombre,caracteristica,Marca,pais,area
"Esmeriles angulares 7 1/4""",,,,Soldadura
"Esmeriles angulares 4 1/2""",,,,Soldadura
Macetas de goma,,,,Soldadura
Macetas de bronce 3 Lbs,,,,Soldadura
Macetas de bronce 4 Lbs,,,,Soldadura
Martillos de bola 3 lbs,,,,Soldadura
Martillos de bola 4 lbs,,,,Soldadura
Cincel para metal,,,,Soldadura
"Tornillos 8"" Base Recta",,,,Soldadura
"Tornillos 8"" Base Recta",,,,Soldadura
Flexómetros 5 mts,,,,Soldadura
Flexómetros 3 mts,,,,Soldadura
"Nivel de Mano 12""",,,,Soldadura
"Nivel de Mano 24""",,,,Soldadura
Bosch GCL25 Láser de alineación automática de 5 puntos con línea cruzada (Op. 1),,,,Soldadura
Alineador Laser De Ejes Fixturlaser Dirigo Alineamiento (Op. 2),,,,Soldadura
Paquete De 5 Alineadores Laser De Ejes Fixturlaser Dirigo (Op. 3),,,,Soldadura
Juego de Brocas 1 - 13 MM HSS,,,,Soldadura
Juego de Brocas 1/8 - 1/2 MM,,,,Soldadura
Máscaras de Soldar tradicionales,,,,Soldadura
Vidrios Negros N°11 (Caja de 25 U),,,,Soldadura
Vidrios Transparentes (Caja 200 U),,,,Soldadura
Juego de Soldadura de Tungsteno (10 U),,,,Soldadura
Argón (Recipiente),,,,Soldadura
Equipo de Soldar TIG (Tungsteno) - (pájaro),,,,Soldadura
Planchas de metal 20x30x0.10,,,,Soldadura
Juego de Machos y Terrajas,,,,Soldadura
Multitester Marca United,,,,Electrónica
Protoboard  de 620 puntos ,,,,Electrónica
Resistencias  varias. ,,,,Electrónica
Porta pilas de 2 pilas,,,,Electrónica
Porta pilas de 4 pilas,,,,Electrónica
Broche para bateria de 9V,,,,Electrónica
Pilas  AA Duracell,,,,Electrónica
Condensadores  47uf x 25v,,,,Electrónica
Condensadores 22uf  ó 33uf X25v,,,,Electrónica
Reley 6V 5pin / 12V  8pin / 12V  5pin,,,,Electrónica
Bateria 9V Duracell,,,,Electrónica
Iman 10mm diametro 6mm espesor,,,,Electrónica
"Set de alicate, precisión diagonal de punta",,,,Electrónica
Diodo  Zener 12,,,,Electrónica
"Led 5mm 1,8 a 3V altobrillo rojo / blanco",,,,Electrónica
Interruptores  para  protoboard,,,,Electrónica
Potenciometro de 10 kilos,,,,Electrónica
Motores 5V- 1700 a 7300 RPM,,,,Electrónica
